Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3
Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²)
2.300,0.82,0.02,-10.36,2.300,0.76,2.14,10.00,2.300,0.56,0.92,8.88
2.310,0.82,-0.03,-4.37,2.310,0.78,2.24,16.15,2.310,0.57,1.00,9.23
2.320,0.82,-0.07,0.12,2.320,0.80,2.46,-8.88,2.320,0.58,1.11,10.37
2.330,0.82,-0.03,2.23,2.330,0.83,2.06,-78.58,2.330,0.59,1.21,9.35
2.340,0.82,-0.02,-0.64,2.340,0.85,0.89,-117.98,2.340,0.60,1.29,9.20
2.350,0.82,-0.04,-0.90,2.350,0.85,-0.30,-46.22,2.350,0.62,1.39,10.35
2.360,0.82,-0.04,6.23,2.360,0.84,-0.03,22.78,2.360,0.63,1.50,9.33
2.370,0.82,0.09,7.52,2.370,0.85,0.16,4.69,2.370,0.65,1.58,9.17
2.380,0.82,0.11,-4.32,2.380,0.84,0.06,-13.66,2.380,0.66,1.68,10.25
2.390,0.82,-3.82E-4,-7.47,2.390,0.85,-0.12,-24.97,2.390,0.68,1.79,9.82
2.400,0.82,-0.04,-2.66,2.400,0.84,-0.44,3.11,2.400,0.70,1.88,9.40
2.410,0.82,-0.05,-2.05E-4,2.410,0.84,-0.05,30.80,2.410,0.72,1.97,8.77
2.420,0.82,-0.04,0.31,2.420,0.84,0.18,14.09,2.420,0.74,2.05,9.11
2.430,0.82,-0.05,-0.47,2.430,0.84,0.23,-9.10,2.430,0.76,2.16,10.22
2.440,0.82,-0.05,-4.83,2.440,0.84,0.00,-1.25,2.440,0.78,2.26,9.79
2.450,0.82,-0.14,-6.25,2.450,0.84,0.20,11.19,2.450,0.80,2.35,9.26
2.460,0.82,-0.18,3.46,2.460,0.85,0.22,-19.99,2.460,0.83,2.44,9.26
2.470,0.82,-0.07,6.82,2.470,0.85,-0.20,-23.02,2.470,0.85,2.54,32.48
2.480,0.82,-0.04,-0.89,2.480,0.84,-0.24,8.28,2.480,0.88,3.09,-43.61
2.490,0.81,-0.09,5.72,2.490,0.84,-0.03,13.60,2.490,0.91,1.67,-221.29
2.500,0.81,0.08,11.18,2.500,0.84,0.03,-8.72,2.500,0.91,-1.33,-200.91
2.510,0.82,0.13,-8.83,2.510,0.84,-0.21,10.01,2.510,0.89,-2.35,-46.36
2.520,0.82,-0.10,-11.73,2.520,0.84,0.23,11.71,2.520,0.86,-2.26,10.18
2.530,0.81,-0.10,-2.25,2.530,0.85,0.03,-15.22,2.530,0.84,-2.15,9.85
2.540,0.81,-0.15,-3.65,2.540,0.84,-0.07,10.15,2.540,0.82,-2.06,8.66
2.550,0.81,-0.18,5.54,2.550,0.85,0.23,-1.23,2.550,0.80,-1.98,9.18
2.560,0.81,-0.04,13.67,2.560,0.84,-0.10,-19.71,2.560,0.78,-1.88,9.09
2.570,0.81,0.10,-2.05,2.570,0.85,-0.16,-6.21,2.570,0.76,-1.79,9.41
2.580,0.81,-0.08,-14.46,2.580,0.84,-0.22,0.45,2.580,0.75,-1.69,10.56
2.590,0.81,-0.19,-0.79,2.590,0.84,-0.15,2.75,2.590,0.73,-1.58,10.12
2.600,0.81,-0.09,6.61,2.600,0.84,-0.17,13.42,2.600,0.71,-1.49,9.67
2.610,0.81,-0.06,2.10,2.610,0.84,0.11,14.42,2.610,0.70,-1.39,9.14
